"generation","model","heterozygosity_loss","effective_ne","panel"
33,"Haplo-diploidy",-0.0591271192853734,8.45635650853851,"a"
34,"Haplo-diploidy",-0.0591271192669576,8.45635651117234,"a"
35,"Haplo-diploidy",-0.0591271192823598,8.45635650896951,"a"
36,"Haplo-diploidy",-0.0591271192775068,8.45635650966359,"a"
37,"Haplo-diploidy",-0.059127119281158,8.45635650914139,"a"
38,"Haplo-diploidy",-0.0591271192798997,8.45635650932136,"a"
39,"Haplo-diploidy",-0.0591271192807706,8.45635650919679,"a"
40,"Haplo-diploidy",-0.0591271192804481,8.45635650924292,"a"
41,"Haplo-diploidy",-0.0591271192806574,8.45635650921299,"a"
42,"Haplo-diploidy",-0.0591271192805752,8.45635650922474,"a"
43,"Haplo-diploidy",-0.0591271192806259,8.4563565092175,"a"
44,"Haplo-diploidy",-0.059127119280605,8.45635650922048,"a"
45,"Haplo-diploidy",-0.0591271192806174,8.45635650921871,"a"
46,"Haplo-diploidy",-0.0591271192806121,8.45635650921947,"a"
47,"Haplo-diploidy",-0.059127119280615,8.45635650921906,"a"
48,"Haplo-diploidy",-0.0591271192806136,8.45635650921925,"a"
49,"Haplo-diploidy",-0.0591271192806143,8.45635650921915,"a"
50,"Haplo-diploidy",-0.0591271192806141,8.45635650921918,"a"
2,"Diploid arrhenotoky",-0.25,2,"a"
3,"Diploid arrhenotoky",-0.15625,3.2,"a"
4,"Diploid arrhenotoky",-0.16212650462963,3.08401147080933,"a"
5,"Diploid arrhenotoky",-0.114242669746564,4.37664841962463,"a"
6,"Diploid arrhenotoky",-0.0710455483045187,7.03773863292429,"a"
7,"Diploid arrhenotoky",-0.046606844616543,10.7280379977178,"a"
8,"Diploid arrhenotoky",-0.0450442921490527,11.1001855317315,"a"
9,"Diploid arrhenotoky",-0.0539367090280715,9.27012435519145,"a"
10,"Diploid arrhenotoky",-0.0559393578620525,8.9382506183394,"a"
11,"Diploid arrhenotoky",-0.0573106134531954,8.72438750648414,"a"
12,"Diploid arrhenotoky",-0.0577341582768762,8.66038433611772,"a"
13,"Diploid arrhenotoky",-0.0580010854960101,8.62052831811906,"a"
14,"Diploid arrhenotoky",-0.0580805850770818,8.60872870575294,"a"
15,"Diploid arrhenotoky",-0.0581345785543544,8.60073320274459,"a"
16,"Diploid arrhenotoky",-0.0581490709399374,8.59858965788901,"a"
